Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
COCOA - ICE FUTURES U.S.,2013-01-15,35058,24174,219469,10884
COCOA - ICE FUTURES U.S.,2013-01-22,35063,28288,225020,6775
COCOA - ICE FUTURES U.S.,2013-01-29,33966,31610,235327,2356
COCOA - ICE FUTURES U.S.,2013-02-05,39224,35334,215262,3890
COCOA - ICE FUTURES U.S.,2013-02-12,38430,34949,200139,3481
COCOA - ICE FUTURES U.S.,2013-02-19,41782,37562,202240,4220
COCOA - ICE FUTURES U.S.,2013-02-26,43761,42347,209933,1414
COCOA - ICE FUTURES U.S.,2013-03-05,46875,46637,218629,238
COCOA - ICE FUTURES U.S.,2013-03-12,49323,47279,220030,2044
COCOA - ICE FUTURES U.S.,2013-03-19,50991,51044,217748,-53
COCOA - ICE FUTURES U.S.,2013-03-26,48358,47007,218925,1351
COCOA - ICE FUTURES U.S.,2013-04-02,47352,44945,220081,2407
COCOA - ICE FUTURES U.S.,2013-04-09,44221,40511,212637,3710
COCOA - ICE FUTURES U.S.,2013-04-16,47940,34580,213712,13360
COCOA - ICE FUTURES U.S.,2013-04-23,52143,29528,220896,22615
COCOA - ICE FUTURES U.S.,2013-04-30,62882,31072,234574,31810
COCOA - ICE FUTURES U.S.,2013-05-07,67624,29484,248992,38140
COCOA - ICE FUTURES U.S.,2013-05-14,65217,27552,243469,37665
COCOA - ICE FUTURES U.S.,2013-05-21,65962,29776,247583,36186
COCOA - ICE FUTURES U.S.,2013-05-28,59378,25016,240541,34362
COCOA - ICE FUTURES U.S.,2013-06-04,60135,25584,240156,34551
COCOA - ICE FUTURES U.S.,2013-06-11,61694,24342,229263,37352
COCOA - ICE FUTURES U.S.,2013-06-18,55774,20184,204012,35590
COCOA - ICE FUTURES U.S.,2013-06-25,54308,25643,199343,28665
COCOA - ICE FUTURES U.S.,2013-07-02,51140,26774,199694,24366
COCOA - ICE FUTURES U.S.,2013-07-09,46158,32463,195125,13695
COCOA - ICE FUTURES U.S.,2013-07-16,44880,25355,194765,19525
COCOA - ICE FUTURES U.S.,2013-07-23,46221,17733,201196,28488
COCOA - ICE FUTURES U.S.,2013-07-30,46546,17552,199940,28994
COCOA - ICE FUTURES U.S.,2013-08-06,49404,19774,195990,29630
COCOA - ICE FUTURES U.S.,2013-08-13,60483,22836,206339,37647
COCOA - ICE FUTURES U.S.,2013-08-20,67267,24227,212804,43040
COCOA - ICE FUTURES U.S.,2013-08-27,67628,23274,211282,44354
COCOA - ICE FUTURES U.S.,2013-09-03,69835,23857,210270,45978
COCOA - ICE FUTURES U.S.,2013-09-10,74703,22168,226228,52535
COCOA - ICE FUTURES U.S.,2013-09-17,78910,24055,238376,54855
COCOA - ICE FUTURES U.S.,2013-09-24,80210,23444,244769,56766
COCOA - ICE FUTURES U.S.,2013-10-01,84869,25799,252089,59070
COCOA - ICE FUTURES U.S.,2013-10-08,86847,26600,259713,60247
COCOA - ICE FUTURES U.S.,2013-10-15,89498,27432,263500,62066
COCOA - ICE FUTURES U.S.,2013-10-22,92352,29153,272143,63199
COCOA - ICE FUTURES U.S.,2013-10-29,90343,27552,261233,62791
COCOA - ICE FUTURES U.S.,2013-11-05,95139,25331,242748,69808
COCOA - ICE FUTURES U.S.,2013-11-12,86298,22344,221077,63954
COCOA - ICE FUTURES U.S.,2013-11-19,91489,26940,235274,64549
COCOA - ICE FUTURES U.S.,2013-11-26,92650,26775,241712,65875
COCOA - ICE FUTURES U.S.,2013-12-03,94913,26875,248634,68038
COCOA - ICE FUTURES U.S.,2013-12-10,95457,22873,244365,72584
COCOA - ICE FUTURES U.S.,2013-12-17,89578,18923,245045,70655
COCOA - ICE FUTURES U.S.,2013-12-24,90853,18729,250303,72124
